Month,General,Food,Non-food
Jan-16,6.07%,4.33%,8.74%
Feb-16,5.62%,3.77%,8.46%
Mar-16,5.65%,3.89%,8.36%
Apr-16,5.61%,3.84%,8.34%
May-16,5.45%,3.81%,7.92%
Jun-16,5.53%,4.23%,7.50%
Jul-16,5.40%,4.35%,6.98%
Aug-16,5.37%,4.30%,7.00%
Sep-16,5.53%,5.10%,6.19%
Oct-16,5.57%,5.56%,5.58%
Nov-16,5.38%,5.41%,5.33%
Dec-16,5.03%,5.38%,4.49%
Jan-17,5.15%,6.53%,3.10%
Feb-17,5.31%,6.84%,3.07%
Mar-17,5.39%,6.89%,3.18%
Apr-17,5.47%,5.47%,3.30%
May-17,5.76%,5.76%,3.44%
Jun-17,5.94%,5.94%,3.67%
Jul-17,5.57%,6.95%,3.53%
Aug-17,5.89%,7.32%,3.75%
Sep-17,6.12%,7.87%,3.44%
Oct-17,6.04%,7.62%,3.61%
Nov-17,5.91%,7.09%,4.10%
Dec-17,5.83%,7.13%,3.85%
Jan-18,5.88%,7.62%,3.23%
Feb-18,5.72%,7.27%,3.36%
Mar-18,5.68%,7.09%,3.52%
Apr-18,5.63%,7.03%,3.49%
May-18,5.57%,6.56%,4.08%
Jun-18,5.54%,5.98%,4.87%
Jul-18,5.51%,6.18%,4.49%
Aug-18,5.48%,5.97%,4.73%
Sep-18,5.43%,5.42%,5.45%
Oct-18,5.40%,5.08%,5.90%
Nov-18,5.37%,5.29%,5.49%
Dec-18,5.30%,5.28%,5.45%
Jan-19,5.42%,5.33%,5.57%
Feb-19,5.47%,5.44%,5.51%
Mar-19,5.55%,5.72%,5.29%
Apr-19,5.58%,5.54%,5.64%
May-19,5.63%,5.49%,5.84%
Jun-19,5.52%,5.40%,5.71%
Jul-19,5.62%,5.42%,5.94%
Aug-19,5.49%,5.27%,5.82%
Sep-19,5.54%,5.30%,5.92%
Oct-19,5.47%,5.49%,5.45%
Nov-19,6.05%,6.41%,5.47%
Dec-19,5.75%,5.88%,5.55%
Jan-20,5.57%,5.12%,6.30%
Feb-20,5.46%,4.97%,6.23%
Mar-20,5.48%,4.87%,6.45%
Apr-20,5.96%,5.91%,6.04%
May-20,5.35%,5.09%,5.75%
Jun-20,6.02%,6.54%,5.22%
Jul-20,5.53%,5.70%,5.28%
Aug-20,5.68%,6.08%,5.05%
Sep-20,5.97%,6.50%,5.12%
Oct-20,6.44%,7.34%,5.00%
Nov-20,5.52%,5.73%,5.19%
Dec-20,5.29%,5.34%,5.21%
Jan-21,5.02%,5.23%,4.69%
Feb-21,5.32%,5.42%,5.17%
Mar-21,5.47%,5.51%,5.39%
Apr-21,5.56%,5.57%,5.55%
May-21,5.26%,4.87%,5.86%
Jun-21,5.64%,5.45%,5.94%
Jul-21,5.36%,5.08%,5.80%
Aug-21,5.54%,5.16%,6.13%
Sep-21,5.59%,5.21%,6.19%
Oct-21,5.70%,5.22%,6.48%
Nov-21,5.98%,5.43%,6.87%
Dec-21,6.05%,5.46%,7.00%
Jan-22,5.86%,5.60%,6.26%
Feb-22,6.17%,6.22%,6.10%
Mar-22,6.22%,6.34%,6.04%
Apr-22,6.29%,6.23%,6.39%
May-22,7.42%,8.30%,6.08%
Jun-22,7.56%,8.37%,6.33%
Jul-22,7.48%,8.19%,6.39%
Aug-22,9.52%,9.94%,8.85%
Sep-22,9.10%,9.08%,9.13%
Oct-22,8.91%,8.50%,9.58%
Nov-22,8.85%,8.14%,9.98%
Dec-22,8.71%,7.91%,9.96%
Jan-23,8.57%,7.76%,9.84%
Feb-23,8.78%,8.13%,9.82%
Mar-23,9.33%,9.09%,9.72%
Apr-23,9.24%,8.84%,9.72%
May-23,9.94%,9.24%,9.96%
Jun-23,9.74%,9.73%,9.60%
Jul-23,9.69%,9.76%,9.47%
Aug-23,9.92%,12.54%,7.95%
Sep-23,9.63%,12.37%,7.82%
Oct-23,9.93%,12.56%,8.30%
Nov-23,9.49%,10.76%,8.16%
Dec-23,9.41%,9.58%,8.52%
Jan-24,9.86%,9.56%,9.42%
Feb-24,9.67%,9.44%,9.33%
Mar-24,9.81%,9.87%,9.64%
Apr-24,9.74%,10.22%,9.34%
May-24,9.89%,10.76%,9.19%
Jun-24,9.72%,10.42%,9.15%
Jul-24,11.66%,14.10%,9.68%
Aug-24,10.49%,11.36%,9.74%
Sep-24,9.92%,10.40%,9.50%
Oct-24,10.87%,12.66%,9.34%
Nov-24,11.38%,13.80%,9.39%
Dec-24,12.92%,10.89%,9.26%
